about,b3_issuer_code,b3_listing_segment,b3_sector,b3_segment,b3_subsector,cnpj,controlling_interest,cvm_code,founding_date,is_b3_listed,is_foreign,is_state_owned,main_activity,name,trade_name,website
"O Banco do Nordeste do Brasil é uma instituição financeira múltipla que tem como objetivo promover o desenvolvimento sustentável da Região Nordeste do Brasil, por meio do apoio financeiro aos agentes produtivos regionais. Com mais de 300 agências, o banco atua em cerca de 2 mil municípios, abrangendo os nove estados da região nordeste, o norte de Minas Gerais e o norte do Espírito Santo. O banco é responsável pelo maior programa de microcrédito produtivo orientado da América do Sul, o CrediAmigo, e também opera o Programa de Desenvolvimento do Turismo no Nordeste.",BNBR,,Financeiro,Bancos,Intermediários Financeiros,07.237.373/0001-20,state_owned,1228,1952-07-19,True,False,True,Banco Múltiplo Com Carteira Comercial,Banco do Nordeste do Brasil S.A.,Banco do Nordeste,https://www.bnb.gov.br
,,,,,,15.124.464/0001-87,private,1244,1834-07-13,False,,False,,BANCO ECONOMICO SA - EM LIQUIDAÇÃO EXTRAJUDICIAL,BCO ECONOMICO,
,BMIN,,Financeiro,Bancos,Intermediários Financeiros,34.169.557/0001-72,private,1309,1971-03-26,True,False,False,Investimentos / Financiamentos,Banco Mercantil de Investimentos S.A.,Banco Mercantil de Investimentos,http://www.mercantildobrasil.com.br
,BMEB,N1,Financeiro,Bancos,Intermediários Financeiros,17.184.037/0001-10,private,1325,1940-01-01,True,False,False,Finanças. Banco Múltiplo,Banco Mercantil do Brasil S.A.,Banco Mercantil do Brasil,http://www.mercantildobrasil.com.br
,,,,,,17.157.777/0001-67,private,1350,1944-02-03,False,,False,,BANCO NACIONAL S.A. - EM LIQUIDAÇÃO EXTRAJUDICIAL,NACIONAL BANCO,
,BRIV,,Financeiro,Bancos,Intermediários Financeiros,60.770.336/0001-65,private,1384,1966-06-13,True,False,False,Operações Permitidas à Sociedade Da Espécie em Lei. Atividades de Administração de Carteira de Valores Mobiliários. Consultoria de Valores Mobiliários E Operações de Câmbio.,Banco Alfa de Investimento S.A.,Alfa Investimento,http://www.alfanet.com.br
,,,Não Classificados,Não Classificado,Não Classificados,,,1461,,True,False,,,NEUMARKT TRADE AND FINANCIAL CENTER S/A,NEUMARKTRADE,
,BDLL,,Bens Industriais,Máquinas e Equipamentos Industriais,Máquinas e Equipamentos,60.851.615/0001-53,private,1520,1911-02-11,True,False,False,Bens de Capital. Produtos E Serviços Para Os Segmentos de Metalurgia. Movimentação de Materiais. óleo E Gás. Energia E Aços Laminados E Trefilados. Para Os Mercados Nacionais E Internacional,Bardella S.A. Indústrias Mecânicas,Bardella,http://www.bardella.com.br
,BALM,,Saúde,Equipamentos,Equipamentos,61.374.161/0001-30,private,1562,1955-12-28,True,False,False,Fabricação Aparelhos E Instrumentos P/ Uso Medico Hospitalar E Ortopedia,Baumer S.A.,Baumer,https://www.baumer.com.br
,BAUH,,Consumo não Cíclico,Carnes e Derivados,Alimentos Processados,95.426.862/0001-97,private,1570,1926-08-30,True,False,False,Atua Na Produção E Comercialização de Patês em Bisnagas. Sendo Seus Principais Produtos: Presuntos. Fiambres. Mortadelas. Linguiças. Salsichas E Patês.,Excelsior Alimentos S.A.,Excelsior,http://www.excelsior.ind.br
,,,,,,14.308.514/0001-13,private_holding,1597,1976-10-26,False,,False,,Participações Industriais do Nordeste S.A.,PIN,
,BMKS,,Consumo Cíclico,Bicicletas,Viagens e Lazer,56.992.423/0001-90,private,1694,1948-05-25,True,False,False,Fabricação E Comercialização de Bicicletas,Bicicletas Monark S.A.,Monark,http://www.monark.com.br
,,,Não Classificados,Não Classificado,Não Classificados,,,1918,,True,False,,,SANEAMENTO DE GOIAS S/A,SANEAMENTOGO,http://www.saneago.com.br
,CAMB,,Consumo Cíclico,Calçados,"Tecidos, Vestuário e Calçados",61.088.894/0001-08,private,2100,1945-11-05,True,False,False,,Cambuci S.A.,Cambuci,http://www.cambuci.com.br/investidores
,,,Não Classificados,Não Classificados,Não Classificado,,,2120,,True,False,,,VIX LOGISTICA S/A,VIXLOGISTICA,
,,,Não Classificados,Não Classificado,Não Classificados,,,2254,,True,False,,,VIARONDON CONCESSIONARIA DE RODOVIA S/A,VIARONDON,http://www.viarondon.com.br
,,,Não Classificados,Não Classificado,Não Classificados,,,2300,,True,False,,,LIGHT ENERGIA S.A.,LIGHTENERG,
,,,Não Classificados,Não Classificado,Não Classificados,,,2388,,True,False,,,ECO050 - CONCESSIONARIA DE RODOVIAS S.A.,ECO050RODO,http://www.eco050.com.br
,,,Não Classificados,Não Classificado,Não Classificados,,,2415,,True,False,,,COMPANHIA ENERGETICA SINOP S.A.,SINOPENERG,https://ri.sinopenergia.com.br
,RANI,NM,Materiais Básicos,Embalagens,Embalagens,92.791.243/0001-03,private,2429,1941-06-06,True,False,False,Fabricação de Papel Para Embalagem. Embalagens de Papelão Ondulado E Resinas.,Irani Papel e Embalagem S.A.,Irani,http://www.irani.com.br
"A Eletrobras é uma empresa brasileira de capital aberto que atua no setor de energia elétrica, sendo responsável por uma grande parte da capacidade de geração e transmissão de energia no país. Com uma história que remonta à década de 1960, a empresa passou por diversas mudanças e reestruturações, mas continua sendo uma das principais referências no setor elétrico brasileiro. Com uma capacidade instalada de mais de 42 mil megawatts e mais de 74 mil quilômetros de linhas de transmissão, a Eletrobras é uma das maiores empresas de energia elétrica da América Latina.",ELET,N1,Utilidade Pública,Energia Elétrica,Energia Elétrica,00.001.180/0001-26,state_owned,2437,1961-04-25,True,False,True,Empresa Holding de Geração. Transmissão de Energia,Centrais Elétricas Brasileiras S.A.,Eletrobras,https://ri.eletrobras.com
"A CEMIG é uma das principais concessionárias de energia elétrica do Brasil, atuando em áreas de geração, transmissão, distribuição e comercialização de energia elétrica, além de distribuição de gás natural. Fundada em 1952, é uma das maiores empresas integradas do setor de energia elétrica da América do Sul, em número de clientes e em quilômetros de rede e de equipamentos e instalações. Com participações em 89 empreendimentos de geração em operação, é a terceira maior geradora de energia do país, considerando suas subsidiárias, controladas e coligadas. A CEMIG é uma companhia de capital aberto controlada pelo Governo do Estado de Minas Gerais.",CMIG,N1,Utilidade Pública,Energia Elétrica,Energia Elétrica,17.155.730/0001-64,state_owned,2453,1952-05-22,True,False,True,Concessionária de Serviço Público de Energia Elétrica.,Companhia Energética de Minas Gerais S.A.,CEMIG,https://ri.cemig.com.br
"A Celesc é a maior empresa do setor elétrico em Santa Catarina, responsável pela geração, transmissão, comercialização e distribuição de eletricidade no estado. Fundada em 1955, a empresa foi criada para suprir as necessidades energéticas que na época eram atendidas por pequenas empresas privadas. Com sede em Florianópolis e regionais em diversas cidades do estado, a Celesc é uma empresa de economia mista, com controle acionário do governo de Santa Catarina.",CLSC,N2,Utilidade Pública,Energia Elétrica,Energia Elétrica,83.878.892/0001-55,state_owned,2461,1956-01-30,True,False,True,Holding Do Setor de Energia,Centrais Elétricas de Santa Catarina S.A.,Celesc,https://ri.celesc.com.br
,,,Não Classificados,Não Classificado,Não Classificados,,,2524,,True,False,,,TRAVESSIA SECURITIZADORA DE CRÉDITOS FINANCEIROS S,TSCRED,http://www.grupotravessia.com
,,,Não Classificados,Não Classificados,Não Classificado,,,2572,,True,False,,,RIO ALTO ENERGIAS RENOVÁVEIS S.A.,RIO ALTO,http://www.gruporioalto.com.br/
"A Companhia Energética de São Paulo (CESP) foi uma das maiores produtoras de energia elétrica do Brasil, com três usinas hidrelétricas integradas ao Sistema Interligado Nacional (SIN). Fundada em 1966, a empresa foi responsável por centralizar o planejamento e racionalização dos recursos do estado de São Paulo no setor energético. A CESP foi reconhecida mundialmente por sua tecnologia desenvolvida nas áreas de geração, transmissão e distribuição de energia elétrica, além de ter sido pioneira em trabalhos de meio ambiente e hidrovia no setor elétrico brasileiro. A empresa, no entanto, foi alvo de críticas e ações judiciais devido ao desastre ambiental causado pela construção da Usina hidrelétrica Porto Primavera, que inundou uma grande área de grande biodiversidade e de grande importância arqueológica e social. A CESP foi privatizada em 2016.",CESP,N1,Utilidade Pública,Energia Elétrica,Energia Elétrica,60.933.603/0001-78,private,2577,1966-12-06,True,False,False,Geração E Comercialização de Energia Elétrica,CESP - Companhia Energética de São Paulo,CESP,http://www.cesp.com.br
,,,Não Classificados,Não Classificado,Não Classificados,,,2590,,True,False,,,EMCCAMP RESIDENCIAL S.A.,EMCCAMP,https://emccamp.com.br/
"A Enel Distribuição Rio é uma empresa de distribuição de energia elétrica com uma longa história de atuação no estado do Rio de Janeiro. Com uma ampla cobertura de 66 municípios e uma equipe de mais de 10.000 colaboradores, a empresa é uma das principais distribuidoras de energia elétrica do estado. Com a aquisição pela Enel Spa, a empresa passou a atuar com uma visão mais global e sustentável, buscando sempre a inovação e a melhoria contínua de seus serviços. Com uma forte presença no mercado, a Enel Distribuição Rio é uma empresa de referência no setor elétrico brasileiro.",CBEE,,Utilidade Pública,Energia Elétrica,Energia Elétrica,33.050.071/0001-58,foreign,3050,1909-06-01,True,False,False,Distribuição de Energia Elétrica,Ampla Energia e Serviços S.A.,Ampla Energia,http://www.eneldistribuicao.com.br/rj
"A Ferbasa, fundada em 23 de fevereiro de 1961 pelo engenheiro José Corgosinho de Carvalho Filho, é uma empresa que atua em produção de minérios e tem uma ótima presença no setor. A empresa é líder nacional na produção de ferro-ligas e a única produtora de ferro-cromo da América, detendo o monopólio do mercado e quase todas as reservas de cromitas no Brasil. Atualmente, a Ferbasa tem presença mundial e oferta de produtos para diversos países. Suas atividades principais são mineração, recursos florestais, metalurgia e energia renovável. A empresa conquistou reconhecimento pelo desenvolvimento de produtos de alta qualidade e destaca-se pela sua forte atuação social e ambiental.",FESA,N1,Materiais Básicos,Siderurgia,Siderurgia e Metalurgia,15.141.799/0001-03,private,3069,1961-02-23,True,False,False,Fabricação E Comercialização Dos Diversos Tipos de Ferroligas,Companhia de Ferro Ligas da Bahia - Ferbasa,Ferbasa,https://www.ferbasa.com.br
,CEDO,N1,Consumo Cíclico,Fios e Tecidos,"Tecidos, Vestuário e Calçados",17.245.234/0001-00,private,3077,1883-04-02,True,False,False,Indústria Têxtil,Companhia de Fiação e Tecidos Cedro Cachoeira,Cedro Têxtil,https://cedro.com.br
,CSAB,,Financeiro,Seguradoras,Previdência e Seguros,15.144.017/0001-90,private,3115,1900-01-15,True,False,False,Companhia de Seguros,Companhia de Seguros Aliança da Bahia,Cia. de Seg. Aliança da Bahia,http://www.alba.com.br
"A Coteminas é uma empresa do ramo têxtil fundada em 1967 em Montes Claros, Minas Gerais, pelo empresário José Alencar. Além do Brasil, a empresa possui operações em outros países, como Argentina, EUA e Canadá. A Coteminas é responsável por marcas como Santista, Artex, MMartan e Casa Moysés, e é uma das principais empresas do setor têxtil no Brasil. A empresa passou por uma crise nos EUA e no Brasil, mas conseguiu se reestruturar e se manter no mercado, expandindo suas operações e marcas. A Coteminas é uma empresa que se preocupa com a qualidade de seus produtos e com a responsabilidade social e ambiental.",CTNM,,Consumo Cíclico,Fios e Tecidos,"Tecidos, Vestuário e Calçados",22.677.520/0001-76,private,3158,1967-12-05,True,False,False,Holding,Companhia de Tecidos Norte de Minas,Coteminas,https://www.ctnm.com.br
,REDE,,Utilidade Pública,Energia Elétrica,Energia Elétrica,61.584.140/0001-49,private,3190,1929-01-02,True,False,False,Participação em Outras Empresas (a Rede Energia Participações É Uma Holding),Rede Energia Participações S.A.,Rede Energia,https://ri.energisa.com.br
,EEEL,N1,Utilidade Pública,Energia Elétrica,Energia Elétrica,92.715.812/0001-31,state_owned,3204,1963-12-19,True,False,True,Geração E Transmissão de Energia Elétrica,Companhia Estadual de Geração e Transmissão de Energia Elétrica,CEEE GT,http://www.ceee.com.br
,,,Utilidade Pública,Energia Elétrica,Energia Elétrica,19.527.639/0001-58,private,3271,1905-02-26,False,False,False,Concessionária de Serviço Público de Distribuição de Energia.,ENERGISA MINAS GERAIS - DISTRIBUIDORA DE ENERGIA S/A,ENERGISA MINAS GERAIS,http://www.cataguazes.com.br
,HBTS,,Financeiro,Exploração de Imóveis,Exploração de Imóveis,87.762.563/0001-03,private,3298,1981-09-28,True,False,False,Participação em Sociedades. Civis Ou Comerciais; Prestação de Serviços Técnicos de Planejamento. Organização E Estruturação de Empresas Ou Grupos Empresariais.,Companhia Habitasul de Participações,Habitasul,http://www.habitasul.com.br
,,,Não Classificados,Não Classificados,Não Classificado,33.541.368/0001-16,state_owned,3328,1948-03-15,False,False,True,Produção E Transmissão de Energia Elétrica,CIA HIDRO ELÉTRICA DO SÃO FRANCISCO,CHESF,
"A Cataguases é uma empresa brasileira com mais de 80 anos de história, que produz tecidos de algodão e viscose para moda feminina, masculina, infantil, decoração e uniformes. Com um parque fabril de mais de 65 mil metros quadrados, a empresa tem capacidade de produção de mais de 25 milhões de metros lineares de tecidos. Seus produtos estão presentes em mais de 20 países, principalmente nos países que ditam os padrões da moda mundial. A empresa é reconhecida por oferecer soluções em tecidos e confeccionados, e por preservar processos produtos sustentáveis, com selos reconhecidamente relevantes no mercado têxtil, como o BCI.",CATA,,Consumo Cíclico,Fios e Tecidos,"Tecidos, Vestuário e Calçados",19.526.748/0001-50,private,3395,1936-11-12,True,False,False,Indústria Têxtil E A Comercialização de Fios E Tecidos em Geral E Produtos Intermediários Têxteis.,Companhia Industrial Cataguases,Cataguases,https://ri.cataguases.com.br
,,,,,,21.254.073/0001-80,private,3450,1911-05-01,False,,False,,COMPANHIA ITAUNENSE ENERGIA E PARTICIPAÇÕES,INDL ITAUNENSE,
,,,,,,82.981.929/0001-03,private,3549,1833-10-21,False,,False,,CIA INDUSTRIAL SCHLOSSER S.A.,SCHLOSSER TECIDOS,
,MSPA,,Materiais Básicos,Papel e Celulose,Madeira e Papel,60.730.348/0001-66,private,3654,1967-11-30,True,False,False,,Companhia Melhoramentos de São Paulo,Melhoramentos,http://www.melhoramentos.com.br
,PALF,,Utilidade Pública,Energia Elétrica,Energia Elétrica,33.050.196/0001-88,private,3824,1912-01-01,True,False,False,Prestação de Serviço Público de Distribuição de Energia Elétrica,COMPANHIA PAULISTA DE FORCA LUZ - CPFL,PAUL F LUZ,http://www.cpfl.com.br
,CRIV,,Financeiro,Sociedade de Crédito e Financiamento,Intermediários Financeiros,17.167.412/0001-13,private,3891,1964-01-01,True,False,False,A Sociedade Tem Por Objeto A Prática de Todas As Operações de Crédito. Financiamento E Investimentos Permitidas Pelas Leis E Regulamentos Aplicáveis à Espécie.,Financeira Alfa S.A. – CFI,Alfa Financeira,http://www.alfanet.com.br
"A Gerdau é uma empresa brasileira líder na produção de aço e fornecedora de aços longos nas Américas e aços especiais no mundo. Com mais de 30 mil colaboradores diretos e indiretos em suas operações em 10 países, a Gerdau é também a maior recicladora da América Latina, utilizando sucata como importante matéria-prima para a produção de aço. Fundada por Johann Heinrich Kaspar Gerdau em 1901, a empresa iniciou sua trajetória na fabricação de pregos e, posteriormente, expandiu seus negócios para a siderurgia. Atualmente, as ações da Gerdau são listadas nas bolsas de valores de São Paulo, Nova Iorque e Madrid. O Conselho de Administração é responsável pela definição da estratégia de longo prazo e pela escolha da presidência, enquanto a diretoria é responsável pela condução geral dos negócios e aplicação das estratégias aprovadas.",GGBR,N1,Materiais Básicos,Siderurgia,Siderurgia e Metalurgia,33.611.500/0001-19,private,3980,1961-11-20,True,False,False,Participação E Administração,Gerdau S.A.,Gerdau,https://ri.gerdau.com
"A Companhia Siderúrgica Nacional (CSN) é uma das maiores indústrias siderúrgicas do mundo, com uma produção anual de mais de 6 milhões de toneladas de aço bruto e 5 milhões de toneladas de laminados. Sua usina, localizada em Volta Redonda, no Rio de Janeiro, é responsável por grande parte da produção, e a empresa também possui minas de minério de ferro e carvão em outras regiões do Brasil. Fundada em 1946, a CSN foi privatizada em 1993 e atualmente possui diversas empresas em diferentes setores, como cimentos, aços longos e mineração.",CSNA,,Materiais Básicos,Siderurgia,Siderurgia e Metalurgia,33.042.730/0001-04,private,4030,1941-04-09,True,False,False,A Companhia Siderúrgica Nacional Atua Nos Setores de Mineração. Siderurgia. Logística. Cimento E Energia.,Companhia Siderúrgica Nacional,Siderúrgica Nacional,https://ri.csn.com.br
"A Santanense é uma empresa centenária, fundada em 1891 em Itaúna, Minas Gerais. Desde então, a empresa tem buscado inovar e investir em qualidade e preparo técnico, tornando-se uma empresa forte, moderna e competitiva. A Santanense contribuiu para os rumos da moda, estando presente em grandes mudanças culturais ao longo dos anos, desde a Semana de Arte Moderna em São Paulo até o movimento hippie dos anos 60. Atualmente, a empresa continua a ser uma referência no mercado têxtil brasileiro e mundial.",CTSA,,Consumo Cíclico,Fios e Tecidos,"Tecidos, Vestuário e Calçados",21.255.567/0001-89,private,4081,1891-10-23,True,False,False,Indústria Têxtil,Companhia Tecidos Santanense,Santanense,https://ri.santanense.com.br
,CTKA,,Consumo Cíclico,Fios e Tecidos,"Tecidos, Vestuário e Calçados",82.640.558/0001-04,private,4146,1933-12-23,True,False,False,Fabricação. Exportação. Importação E O Comércio Atacadista E Varejista de Fios. Tecidos E Produtos Têxteis em Geral.,Karsten S.A.,Karsten,http://www.karsten.com.br
"A Vale S.A. é uma das maiores empresas de mineração do mundo, com uma ampla gama de produtos, incluindo minério de ferro, pelotas, níquel, manganês, ferroliga, cobre, bauxita, potássio, caulim, alumina e alumínio. Além disso, a empresa é uma das maiores operadoras de logística do Brasil, com uma extensa malha ferroviária e nove terminais portuários próprios. A Vale é uma empresa privada, de capital aberto, com ações negociadas em várias bolsas de valores, incluindo a B3, a Bolsa de Valores de Madrid e a Bolsa de Valores de Nova York. A empresa é uma das maiores empregadoras do Brasil e tem uma presença significativa em vários países ao redor do mundo.",VALE,NM,Materiais Básicos,Minerais Metálicos,Mineração,33.592.510/0001-54,private,4170,1942-06-01,True,False,False,Mineração,Vale S.A.,Vale,https://www.vale.com/pt/investidores
,,,,,,61.080.313/0001-91,private,4448,1944-09-19,False,,False,,COBRASMA SA,COBRASMA S/A,
,CGRA,,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Comércio,92.012.467/0001-70,private,4537,1950-05-24,True,False,False,Comércio Varejista de Vesturio E Bazar.,Grazziotin S.A.,Grazziotin,http://www.grazziotin.com.br
,GUAR,,Consumo Cíclico,"Tecidos, Vestuário e Calçados",Comércio,08.402.943/0001-52,private,4669,1956-10-06,True,False,False,Confecções de Roupas E Tecidos em Geral.,Guararapes Confecções S.A.,Guararapes,http://www.guararapes.ind.br
,,,,,,09.116.278/0001-01,private,4685,1967-07-07,False,,False,,CONPEL CIA. NORDESTINA DE PAPEL - EM RECUPERAÇÃO JUDICIAL,CONPEL CIA. NORDESTINA DE PAPEL - EM RECUPERAÇÃO JUDICIAL,
,ODER,,Consumo não Cíclico,Alimentos Diversos,Alimentos Processados,97.191.902/0001-94,private,4693,1908-08-08,True,False,False,Indústria de Alimentos Com Sede Na Cidade de São Sebastião Do Caí (rs) E Filiais Nas Cidades de Eldorado Do Sul (rs). Pelotas (rs). Orizona (go) E Salvador (ba).,Conservas Oderich S.A.,Conservas Oderich,http://www.oderich.com.br
,BRGE,,Financeiro,Seguradoras,Previdência e Seguros,17.193.806/0001-46,private_holding,4707,1952-08-08,True,False,False,A Sociedade Tem Por Objeto Social: a) todos E Quaisquer Serviços de Engenharia Permitidos Pelas Leis E Regulamentos Aplicáveis à Espécie; b) atuar Como Representante. Administradora Ou Procurad,Consórcio Alfa de Administração S.A.,Consórcio Alfa,http://www.alfanet.com.br
"A Adolpho Lindenberg Construtora é uma empresa com quase 70 anos de história, que se mantém no mercado com o propósito de construir imóveis de luxo, com qualidade e que sejam bons investimentos. Desde a sua fundação em 1954, a empresa já entregou mais de 700 empreendimentos em 14 milhões de m², vendidos a mais de 20 mil clientes. Com foco inicial na construção de casas de alto padrão, a construtora se destacou ao longo dos anos, criando o conceito de casa sobreposta e desenvolvendo projetos inovadores como o primeiro flat do país e edifícios com piscinas privativas nos terraços.",CALI,,Consumo Cíclico,Incorporações,Construção Civil,61.022.042/0001-18,private,4723,1958-01-01,True,False,False,,Construtora Adolpho Lindenberg S.A.,Adolpho Lindenberg,https://lindenberg.com.br/ri
,,,,,,17.162.082/0001-73,private,4782,1953-12-31,False,,False,,MENDES JUNIOR ENGENHARIA SA,MENDES JUNIOR ENGENHARIA S/A,
"A Braskem é uma empresa petroquímica global que se dedica a criar soluções sustentáveis a partir da química e do plástico. Com uma posição de liderança na produção de resinas termoplásticas e biopolímeros em escala industrial, a empresa conta com quarenta unidades industriais em onze países, além de escritórios comerciais e centros de inovação. Seus principais produtos incluem resinas polietileno, polipropileno, policloreto de vinila, além de eteno, propeno, butadieno, benzeno, tolueno, cloro, soda e solvente. A Braskem é uma empresa comprometida com a sustentabilidade e a inovação, buscando soluções que possam contribuir para um futuro mais sustentável.",BRKM,N1,Materiais Básicos,Petroquímicos,Químicos,42.150.391/0001-70,private,4820,1974-06-18,True,False,False,Produção de Produtos Químicos. Utilidades. Energia Elétrica E Outros;prestação de Serviços Industriais;participação em Outras Sociedades;locação de Bens; Representação/consignação de Produtos Químicos,Braskem S.A.,Braskem,https://www.braskem-ri.com.br
,CORR,,Financeiro,Exploração de Imóveis,Exploração de Imóveis,15.101.405/0001-93,private_holding,4863,1926-01-02,True,False,False,,Corrêa Ribeiro S.A. Comércio e Indústria,Corrêa Ribeiro,http://www.crci.com.br
,DOHL,,Consumo Cíclico,Fios e Tecidos,"Tecidos, Vestuário e Calçados",84.683.408/0001-03,private,5207,1755-12-09,True,False,False,Tecelagem de Fios de Algodão E Fibras Sintéticas,Döhler S.A.,Döhler,http://www.dohler.com.br
