Nome Do Pregão,Código,Denominação Social,Segmento De Mercado,Tipo De Capital,Capital R$,Aprovado Em,Qtde Ações Ordinárias,Qtde Ações Preferenciais,Qtde Total De Ações
VAMOS,VAMO,"VAMOS LOCAÇÃO DE CAMINHÕES, MÁQUINAS E EQUIP. S.A.",NOVO MERCADO,Homologado,"2.142.576.124,79",29/06/2023,1.104.324.569,0,1.104.324.569
VANECK EMERG,HYEM,VANECK EMERGING MARKETS HIGH YIELD BOND ETF,BOLSA,Homologado,000,03/10/2022,0,24.200.000,24.200.000
VANECK ANGL,ANGV,VANECK FALLEN ANGEL HIGH YIELD BOND ETF,BOLSA,Homologado,000,03/10/2022,0,114.750.000,114.750.000
VE GOLD ETF,GDXB,VANECK GOLD MINERS ETF,BOLSA,Homologado,000,24/01/2022,0,1.223.257.500,1.223.257.500
VANECK JPM E,EMLC,VANECK J.P. MORGAN EM LOCAL CURRENCY BOND ETF,BOLSA,Homologado,000,17/04/2023,0,388.568.046,388.568.046
VE MOAT ETF,MOTB,VANECK MORNINGSTAR WIDE MOAT ETF,BOLSA,Homologado,000,24/01/2022,0,755.200.000,755.200.000
VANECK PREF,PFXF,VANECK PREFERRED SECURITIES EX FINANCIALS ETF,BOLSA,Homologado,000,03/10/2022,0,55.950.000,55.950.000
VE STEEL ETF,SLXB,VANECK STEEL ETF,BOLSA,Homologado,000,24/01/2022,0,12.150.000,12.150.000
VE BUZZ ETF,BUZZ,VANECK SOCIAL SENTIMENT ETF,BOLSA,Homologado,000,24/01/2022,0,18.600.000,18.600.000
FIAGRO VCRA,VCRA,VECTIS DATAGRO CR AGR FDO INV CAD PROD AG - IMOB,BOLSA,Homologado,200,11/11/2022,0,4.593.919,4.593.919
VERTCIASEC,VERT,VERT COMPANHIA SECURITIZADORA,BOLSA,Homologado,"1.200.000,00",23/05/2017,100.000,11,100.011
VESTE,VSTE,VESTE S.A. ESTILO,NOVO MERCADO,Homologado,"924.757.925,08",08/02/2023,113.426.924,0,113.426.924
VIBRA,VBBR,VIBRA ENERGIA S.A.,NOVO MERCADO,Homologado,"7.578.709.573,98",28/04/2022,1.165.000.000,0,1.165.000.000
FIP VINCI IE,VIGT,VINCI ENERGIA FDO INV PART IE,FIP IE,Homologado,200,08/01/2021,0,8.674.669,8.674.669
VITTIA,VITT,VITTIA S.A.,NOVO MERCADO,Homologado,"270.476.724,26",13/10/2021,143.049.107,0,143.049.107
VIVARA S.A.,VIVA,VIVARA PARTICIPAÇOES S.A,NOVO MERCADO,Homologado,"1.105.381.209,00",08/10/2019,236.197.769,0,236.197.769
VIVER,VIVR,VIVER INCORPORADORA E CONSTRUTORA S.A.,NOVO MERCADO,Homologado,"2.763.010.417,85",21/07/2023,23.676.543,0,23.676.543
VULCABRAS,VULC,VULCABRAS S.A.,NOVO MERCADO,Homologado,"1.142.547.132,50",21/03/2023,245.916.244,0,245.916.244
WEG,WEGE,WEG S.A.,NOVO MERCADO,Homologado,"6.504.516.508,00",26/04/2022,4.197.317.998,0,4.197.317.998
WESTWING,WEST,WESTWING COMERCIO VAREJISTA S.A.,NOVO MERCADO,Homologado,"471.077.362,65",06/07/2023,110.498.396,0,110.498.396
WETZEL S/A,MWET,WETZEL S.A.,BOLSA,Homologado,"47.147.375,02",10/09/2015,686.001,1.372.002,2.058.003
WHIRLPOOL,WHRL,WHIRLPOOL S.A.,BOLSA,Homologado,"1.159.102.348,07",27/04/2017,1.028.700.892,474.085.114,1.502.786.006
WILSON SONS,PORT,WILSON SONS HOLDINGS BRASIL S.A.,NOVO MERCADO,Homologado,"351.670.116,67",12/05/2023,439.988.900,0,439.988.900
WT CLOU COMP,BWCL,WISDOMTREE CLOUD COMPUTING FUND,BOLSA,Homologado,000,10/10/2022,0,70.500.000,70.500.000
WT FLOATRATE,BUSF,WISDOMTREE FLOATING RATE TREASURY FUND,BOLSA,Homologado,000,21/07/2023,0,1.709.587.500,1.709.587.500
WT YIELD ENH,BAGY,WISDOMTREE YIELD ENHANCED US AGGREGATE BOND FUND,BOLSA,Homologado,000,21/07/2023,0,78.400.000,78.400.000
WIZ CO,WIZC,WIZ CO PARTICIPAÇÕES E CORRETAGEM DE SEGUROS S.A.,NOVO MERCADO,Homologado,"40.000.000,00",10/12/2014,159.907.282,0,159.907.282
WLM IND COM,WLMM,WLM PART. E COMÉRCIO DE MÁQUINAS E VEÍCULOS S.A.,BOLSA,Homologado,"238.836.039,05",19/03/2021,16.571.220,19.843.450,36.414.670
FIAGRO XP CA,XPCA,XP CRÉDITO AGRÍCOLA FDO INV FIAGRO IMOBILIÁRIO,BOLSA,Homologado,100,02/06/2023,0,47.569.840,47.569.840
FIRF XP IE,XPID,XP FDO INV. COTAS FDO INC. INV. EM INFR. R. FIXA,BOLSA,Homologado,100,29/10/2020,0,3.165.464,3.165.464
FIP XP INFRA,XPIE,XP INFRA II FDO DE INV PART IE,FIP IE,Homologado,200,01/08/2023,0,7.062.040,7.062.040
XTRACKERDAX,BDAX,XTRACKERS DAX UCITS ETF,BOLSA,Homologado,000,20/03/2023,0,431.704.950,431.704.950
XTRACKEREU50,BEUT,XTRACKERS EURO STOXX 50 UCITS ETF,BOLSA,Homologado,000,20/03/2023,0,268.198.260,268.198.260
XTRACKERCHIN,BCHA,XTRACKERS MSCI CHINA UCITS ETF,BOLSA,Homologado,000,20/03/2023,0,91.476.990,91.476.990
XTRACKEREMM,BEME,XTRACKERS MSCI EMERGING MARKETS UCITS ETF,BOLSA,Homologado,000,20/03/2023,0,464.967.600,464.967.600
XTRACKEREUR,BEUR,XTRACKERS MSCI EUROPE UCITS ETF,BOLSA,Homologado,000,20/03/2023,0,334.450.000,334.450.000
XTRACKERJAP,BJAP,XTRACKERS MSCI JAPAN UCITS ETF,BOLSA,Homologado,000,20/03/2023,0,170.991.480,170.991.480
XTRACKERUSA,BEUA,XTRACKERS MSCI USA UCITS ETF,BOLSA,Homologado,000,20/03/2023,0,499.156.800,499.156.800
XTRACKERENGY,BLUZ,XTRACKERS MSCI WORLD ENERGY UCITS ETF,BOLSA,Homologado,000,20/03/2023,0,169.294.600,169.294.600
XTRACKERWRLD,BWOR,XTRACKERS MSCI WORLD UCITS ETF,BOLSA,Homologado,000,20/03/2023,0,807.030.400,807.030.400
XTRACKERWRVL,BUFF,XTRACKERS MSCI WORLD VALUE UCITS ETF,BOLSA,Homologado,000,20/03/2023,0,160.100.000,160.100.000
XTRACKER2000,BTWO,XTRACKERS RUSSELL 2000 UCITS ETF,BOLSA,Homologado,000,20/03/2023,0,102.403.750,102.403.750
XTRACKERWEIG,BEQW,XTRACKERS S&P 500 EQUAL WEIGHT UCITS ETF,BOLSA,Homologado,000,20/03/2023,0,336.729.600,336.729.600
XTRACKERE600,BEUS,XTRACKERS STOXX EUROPE 600 UCITS ETF,BOLSA,Homologado,000,20/03/2023,0,155.336.900,155.336.900
YBYRA S/A,YBRA,YBYRÁ CAPITAL S.A.,BOLSA,Homologado,"4.665.090.000,00",19/04/2023,116.574.000,116.574.000,233.148.000
YDUQS PART,YDUQ,YDUQS PARTICIPACOES S.A.,NOVO MERCADO,Homologado,"1.139.887.263,22",13/06/2018,309.088.851,0,309.088.851
ZAMP S.A.,ZAMP,ZAMP S.A.,NOVO MERCADO,Homologado,"1.461.068.417,41",18/11/2020,275.355.447,0,275.355.447
ZAMP S.A.,ZAMP,ZAMP S.A.,NOVO MERCADO,Homologado,"1.461.068.417,41",18/11/2020,275.355.447,0,275.355.447
